rebal_date,hold_date,n_stocks,n_entries,n_exits,turnover,gross_ret,cost_1x,net_ret_1x,spy_ret,excess_ret_1x
2015-03-31,2015-04-30,90,25,25,0.2778,-0.029378320280864376,0.00011740593977989827,-0.029495726220644274,0.014341659388490413,-0.04383738560913469
2015-04-30,2015-05-31,90,21,21,0.2333,0.0414980372967944,0.00010067039757430961,0.04139736689922009,0.0128559150734191,0.028541451825800992
2015-05-31,2015-06-30,90,26,26,0.2889,-0.0040211713054268865,0.0001250431048369096,-0.0041462144102637965,-0.025054644246170876,0.02090842983590708
2015-06-30,2015-07-31,90,18,18,0.2,0.03833816308417296,8.797850721945138e-05,0.03825018457695351,0.027563602229304873,0.010686582347648639
2015-07-31,2015-08-31,91,16,15,0.1703,-0.05318846514540608,8.050164211529669e-05,-0.053268966787521375,-0.06094989711039289,0.007680930322871517
2015-08-31,2015-09-30,91,18,18,0.1978,-0.022756921526786173,8.863715527897894e-05,-0.022845558682065153,-0.030556145564558546,0.007710586882493393
2015-09-30,2015-10-31,91,12,12,0.1319,0.058066933293899614,6.0136308392732624e-05,0.058006796985506884,0.09070058405819847,-0.03269378707269159
2015-10-31,2015-11-30,91,20,20,0.2198,0.016399323523215822,0.00010080523408610182,0.01629851828912972,0.0036553729125801127,0.012643145376549609
2015-11-30,2015-12-31,91,19,19,0.2088,-0.011434840326817011,9.09282029628283e-05,-0.011525768529779839,-0.023096661954228326,0.011570893424448487
2015-12-31,2016-01-31,91,17,17,0.1868,-0.05682108187549678,8.191654926727334e-05,-0.056902998424764054,-0.04413157592575978,-0.012771422499004273
2016-01-31,2016-02-29,91,22,22,0.2418,-0.011497165105096626,0.00010893979208027765,-0.011606104897176903,-0.0008255729876320839,-0.010780531909544819
2016-02-29,2016-03-31,91,20,20,0.2198,0.0691442990317978,9.611758864154196e-05,0.06904818144315626,0.06178931473707472,0.007258866706081543
2016-03-31,2016-04-30,91,21,21,0.2308,-0.015171852067778777,0.000103338603126874,-0.015275190670905651,0.009119435450385627,-0.024394626121291278
2016-04-30,2016-05-31,91,17,17,0.1868,0.03612338590428262,8.169051450873905e-05,0.036041695389773885,0.017011563009164288,0.019030132380609598
2016-05-31,2016-06-30,91,17,17,0.1868,0.036257497520518434,8.270317059781358e-05,0.03617479434992062,-0.0017157356565405957,0.03789053000646122
2016-06-30,2016-07-31,92,14,13,0.1467,0.02578813256085253,6.914169012986876e-05,0.02571899087072266,0.04186136116791661,-0.01614237029719395
2016-07-31,2016-08-31,92,19,19,0.2065,-0.025335518209217544,8.972612963314916e-05,-0.025425244338850694,0.0011974333073427879,-0.02662267764619348
2016-08-31,2016-09-30,92,23,23,0.25,0.0030712471810637547,0.00010690941805345657,0.0029643377630102982,-0.004968118690397261,0.007932456453407559
2016-09-30,2016-10-31,92,23,23,0.25,-0.028215425310720164,0.00010483360315521329,-0.028320258913875376,-0.012373438079777754,-0.01594682083409762
2016-10-31,2016-11-30,92,31,31,0.337,0.04186201732010673,0.00014154745908395852,0.04172046986102277,0.03683864524838287,0.004881824612639897
2016-11-30,2016-12-31,93,26,25,0.2742,0.008909924182193303,0.00012205392024579406,0.00878787026194751,0.014293368465581047,-0.005505498203633536
2016-12-31,2017-01-31,93,36,36,0.3871,0.035322700241157856,0.000159637393927691,0.03516306284723016,0.023894411361041312,0.01126865148618885
2017-01-31,2017-02-28,93,20,20,0.2151,0.026622005529948433,9.604930132860243e-05,0.02652595622861983,0.039291234731113844,-0.012765278502494013
2017-02-28,2017-03-31,93,28,28,0.3011,0.0072164563590072055,0.00012861473288688642,0.007087841626120319,-0.003086980749867907,0.010174822375988227
2017-03-31,2017-04-30,93,22,22,0.2366,0.012072913636341701,0.00010177992563892643,0.011971133710702775,0.014319921791830614,-0.0023487880811278398
2017-04-30,2017-05-31,93,14,14,0.1505,0.019150674427861784,6.854010887975889e-05,0.019082134318982025,0.01411295240052124,0.004969181918460786
2017-05-31,2017-06-30,93,24,24,0.2581,-0.00479482667870221,0.00011254442199942565,-0.004907371100701636,0.0014908844036189972,-0.006398255504320633
2017-06-30,2017-07-31,93,22,22,0.2366,0.035932270344644954,0.00010191943341617037,0.035830350911228784,0.025531084650645797,0.010299266260582987
2017-07-31,2017-08-31,93,22,22,0.2366,0.008976536059508175,0.00010403990570362294,0.008872496153804551,0.002917755168571512,0.005954740985233039
2017-08-31,2017-09-30,93,19,19,0.2043,0.038874168531341374,9.042638358771533e-05,0.03878374214775366,0.015111742881877,0.02367199926587666
2017-09-30,2017-10-31,93,25,25,0.2688,0.05087926948412738,0.00011652799336032377,0.05076274149076706,0.028643747885836568,0.02211899360493049
2017-10-31,2017-11-30,94,28,27,0.2926,0.025438840549195717,0.00012872674584534866,0.025310113803350368,0.030565807500037012,-0.005255693696686645
2017-11-30,2017-12-31,93,28,29,0.3065,-0.0012128854123706454,0.0001301360403964287,-0.001343021452767074,0.006980932574636611,-0.008323954027403685
2017-12-31,2018-01-31,94,27,26,0.2819,0.06959584130743332,0.0001188576323832734,0.06947698367505005,0.06175854808955794,0.007718435585492109
2018-01-31,2018-02-28,94,15,15,0.1596,-0.023828403951008423,7.922213265604574e-05,-0.02390762608366447,-0.036360468660991296,0.012452842577326827
2018-02-28,2018-03-31,94,26,26,0.2766,-0.004735943472884941,0.00011783904181354165,-0.004853782514698483,-0.03129016171710297,0.02643637920240449
2018-03-31,2018-04-30,94,21,21,0.2234,-0.00433126719716888,9.686632391813947e-05,-0.00442813352108702,0.009193854048069383,-0.013621987569156403
2018-04-30,2018-05-31,94,19,19,0.2021,0.07111981586466899,8.833072535243041e-05,0.07103148513931656,0.02430928125377596,0.0467222038855406
2018-05-31,2018-06-30,94,19,19,0.2021,-0.0018618475904803305,9.54492496072892e-05,-0.0019572968400876196,0.0012548511564258735,-0.003212147996513493
2018-06-30,2018-07-31,95,21,20,0.2158,0.014001302898429328,9.646106119544504e-05,0.013904841837233882,0.04170330283752688,-0.027798461000293
2018-07-31,2018-08-31,94,15,16,0.1649,0.08141752403174914,7.181633630469228e-05,0.08134570769544444,0.03191986110705458,0.04942584658838986
2018-08-31,2018-09-30,95,19,18,0.1947,0.007749130169894076,9.588844987777167e-05,0.007653241720016304,0.001412094678556075,0.006241147041460229
2018-09-30,2018-10-31,95,21,21,0.2211,-0.10436166599405118,9.50014133714934e-05,-0.10445666740742267,-0.0648900671549365,-0.039566600252486164
2018-10-31,2018-11-30,95,13,13,0.1368,0.0024492336594319217,7.486775177856444e-05,0.0023743659076533572,0.018549462345329948,-0.01617509643767659
2018-11-30,2018-12-31,94,19,20,0.2074,-0.08095849368339952,9.33812860139484e-05,-0.08105187496941348,-0.09334328440117967,0.012291409431766195
2018-12-31,2019-01-31,94,20,20,0.2128,0.0963808108540944,9.826164648388993e-05,0.09628254920761051,0.08637319315068992,0.009909356056920587
2019-01-31,2019-02-28,94,20,20,0.2128,0.059081525279563334,0.00010142588132993472,0.0589800993982334,0.03241571336559801,0.02656438603263539
2019-02-28,2019-03-31,95,28,27,0.2895,0.024909634026180356,0.00012800241084163957,0.024781631615338716,0.013635328302864957,0.011146303312473758
